ref;value;footprint
C1;0.1uF;~
C2;1uF;~
C3;1uF;~
C4;100uF;~
C5;1uF;~
C6;10uF;~
C7;10uF;~
C8;0.1uF;~
C9;10uF;~
C10;0.1uF;~
C11;0.1uF;~
C12;10uF;~
CON1;BARREL_JACK;~
D1;5v1 ZENER;~
D2;1N4007;~
D3;5v1 ZENER;~
D4;5v1 ZENER;~
D5;5v1 ZENER;~
D6;5v1 ZENER;~
D7;5v1 ZENER;~
D8;5v1 ZENER;~
D9;5v1 ZENER;~
D10;5v1 ZENER;~
D11;12v1 ZENER;~
D12;12v1 ZENER;~
F1;PTC 1.1A 30V;~
IC1;4N25;DIP6
IC2;4N25;DIP6
IC3;4N25;DIP6
J2;DB25;~
J3;DB9;~
PH1;IL300;~
Q1;BC547;TO92
R1;10K;~
R2;10K;~
R3;100R;~
R4;10K;~
R5;10K;~
R6;10K;~
R7;200R;~
R8;200R;~
R9;200R;~
R10;200R;~
R11;200R;~
R12;200R;~
R13;200R;~
R14;200R;~
R15;200R;~
R16;10K;~
R17;10K;~
R18;10K;~
R19;10K;~
R20;100R;~
R21;3K3;~
R22;47k;~
R23;10K;~
R24;400R;~
R25;230R;~
R26;400R;~
R27;1K;~
R28;1K;~
R29;47k;~
U1;LM358;
U2;ARDUINO_MINI_PRO;~
U3;CNY74-4;
U4;7805;~
U5;ISOL_PWR;
U6;74HC04;~
U7;CNY74-4;
U8;ISOL_PWR;~
U9;LM358;
